cc200L_BGLR,cc200L_BGR,sub_all,censor_task,sub_short,proband_control
BGHAT_Left_Caudate,BGHAT_Right_Caudate,7307,task,7307,proband
BGHAT_Left_Putamen,BGHAT_Right_Putamen,7647,,7647,control
BGHAT_Left_GPe,BGHAT_Right_GPe,7779,,7779,
BGHAT_Left_GPi,BGHAT_Right_GPi,7798,,7798,
BGHAT_Left_STN,BGHAT_Right_STN,7846,,7846,
BGHAT_Right_Caudate,cc200_dACC,7863,,7224,
BGHAT_Right_Putamen,cc200_Left_AntIntP,7883,,7280,
BGHAT_Right_GPe,cc200_Left_M1Hand,7916,,7738,
BGHAT_Right_GPi,cc200_Left_SMA,7925,,7832,
BGHAT_Right_STN,cc200_Left_DLPFC,7940,,7970,
cc200_dACC,,7988,,,
cc200_Left_AntIntP,,8009,,,
cc200_Left_M1Hand,,8012,,,
cc200_Left_SMA,,8018,,,
cc200_Left_DLPFC,,8046,,,
,,8065,,,
,,8084,,,
,,8122,,,
,,8164,,,
,,8194,,,
,,8211,,,
,,7224,,,
,,7280,,,
,,7738,,,
,,7832,,,
,,7970,,,
,,7974,,,
,,8000,,,
,,8037,,,
,,8051,,,
,,8127,,,
,,8128,,,
,,8136,,,
,,8214,,,
,,8244,,,
,,8263,,,
,,8274,,,
,,8304,,,
,,8317,,,
